file_name,height,width,bbox,age,race,masked,skintone,emotion,gender,crop_name,label
15142418.jpg,1333,2000,"[959.9787409825797, 315.1459587251671, 425.05314754349223, 472.934570226641]",4,1,0,1,0,1,811_1.jpg,0141
15142418.jpg,1333,2000,"[959.9787409825797, 315.1459587251671, 425.05314754349223, 472.934570226641]",4,1,0,1,0,1,811_2.jpg,0141
15142418.jpg,1333,2000,"[959.9787409825797, 315.1459587251671, 425.05314754349223, 472.934570226641]",4,1,0,1,0,1,811_3.jpg,0141
15142418.jpg,1333,2000,"[959.9787409825797, 315.1459587251671, 425.05314754349223, 472.934570226641]",4,1,0,1,0,1,811_4.jpg,0141
15142418.jpg,1333,2000,"[959.9787409825797, 315.1459587251671, 425.05314754349223, 472.934570226641]",4,1,0,1,0,1,811_5.jpg,0141
15142418.jpg,1333,2000,"[959.9787409825797, 315.1459587251671, 425.05314754349223, 472.934570226641]",4,1,0,1,0,1,811_6.jpg,0141
15142418.jpg,1333,2000,"[959.9787409825797, 315.1459587251671, 425.05314754349223, 472.934570226641]",4,1,0,1,0,1,811_7.jpg,0141
15631030.jpg,2000,1329,"[13.503684199642958, 118.0975609756096, 1046.5110525989282, 1069.9024390243894]",4,1,0,1,0,0,843_1.jpg,0141
15631030.jpg,2000,1329,"[13.503684199642958, 118.0975609756096, 1046.5110525989282, 1069.9024390243894]",4,1,0,1,0,0,843_2.jpg,0141
15631030.jpg,2000,1329,"[13.503684199642958, 118.0975609756096, 1046.5110525989282, 1069.9024390243894]",4,1,0,1,0,0,843_3.jpg,0141
15631030.jpg,2000,1329,"[13.503684199642958, 118.0975609756096, 1046.5110525989282, 1069.9024390243894]",4,1,0,1,0,0,843_4.jpg,0141
15631030.jpg,2000,1329,"[13.503684199642958, 118.0975609756096, 1046.5110525989282, 1069.9024390243894]",4,1,0,1,0,0,843_5.jpg,0141
15631030.jpg,2000,1329,"[13.503684199642958, 118.0975609756096, 1046.5110525989282, 1069.9024390243894]",4,1,0,1,0,0,843_6.jpg,0141
15631030.jpg,2000,1329,"[13.503684199642958, 118.0975609756096, 1046.5110525989282, 1069.9024390243894]",4,1,0,1,0,0,843_7.jpg,0141
3077189.jpg,1330,2000,"[592.3400503778325, 0.0, 773.1125104953824, 1037.3207070707049]",4,1,0,1,0,1,1662_1.jpg,0141
3077189.jpg,1330,2000,"[592.3400503778325, 0.0, 773.1125104953824, 1037.3207070707049]",4,1,0,1,0,1,1662_2.jpg,0141
3077189.jpg,1330,2000,"[592.3400503778325, 0.0, 773.1125104953824, 1037.3207070707049]",4,1,0,1,0,1,1662_3.jpg,0141
3077189.jpg,1330,2000,"[592.3400503778325, 0.0, 773.1125104953824, 1037.3207070707049]",4,1,0,1,0,1,1662_4.jpg,0141
3077189.jpg,1330,2000,"[592.3400503778325, 0.0, 773.1125104953824, 1037.3207070707049]",4,1,0,1,0,1,1662_5.jpg,0141
3077189.jpg,1330,2000,"[592.3400503778325, 0.0, 773.1125104953824, 1037.3207070707049]",4,1,0,1,0,1,1662_6.jpg,0141
3077189.jpg,1330,2000,"[592.3400503778325, 0.0, 773.1125104953824, 1037.3207070707049]",4,1,0,1,0,1,1662_7.jpg,0141
40435025.jpg,1333,2000,"[883.1458787127972, 262.9999999999871, 792.8628293446201, 723.7547981695009]",4,1,0,1,0,1,2246_1.jpg,0141
40435025.jpg,1333,2000,"[883.1458787127972, 262.9999999999871, 792.8628293446201, 723.7547981695009]",4,1,0,1,0,1,2246_2.jpg,0141
40435025.jpg,1333,2000,"[883.1458787127972, 262.9999999999871, 792.8628293446201, 723.7547981695009]",4,1,0,1,0,1,2246_3.jpg,0141
40435025.jpg,1333,2000,"[883.1458787127972, 262.9999999999871, 792.8628293446201, 723.7547981695009]",4,1,0,1,0,1,2246_4.jpg,0141
40435025.jpg,1333,2000,"[883.1458787127972, 262.9999999999871, 792.8628293446201, 723.7547981695009]",4,1,0,1,0,1,2246_5.jpg,0141
40435025.jpg,1333,2000,"[883.1458787127972, 262.9999999999871, 792.8628293446201, 723.7547981695009]",4,1,0,1,0,1,2246_6.jpg,0141
40435025.jpg,1333,2000,"[883.1458787127972, 262.9999999999871, 792.8628293446201, 723.7547981695009]",4,1,0,1,0,1,2246_7.jpg,0141
42839946.jpg,1334,2000,"[831.9286170552638, 319.9214366500534, 758.0128668955439, 800.3825505973576]",4,1,0,1,0,1,2567_1.jpg,0141
42839946.jpg,1334,2000,"[831.9286170552638, 319.9214366500534, 758.0128668955439, 800.3825505973576]",4,1,0,1,0,1,2567_2.jpg,0141
42839946.jpg,1334,2000,"[831.9286170552638, 319.9214366500534, 758.0128668955439, 800.3825505973576]",4,1,0,1,0,1,2567_3.jpg,0141
42839946.jpg,1334,2000,"[831.9286170552638, 319.9214366500534, 758.0128668955439, 800.3825505973576]",4,1,0,1,0,1,2567_4.jpg,0141
42839946.jpg,1334,2000,"[831.9286170552638, 319.9214366500534, 758.0128668955439, 800.3825505973576]",4,1,0,1,0,1,2567_5.jpg,0141
42839946.jpg,1334,2000,"[831.9286170552638, 319.9214366500534, 758.0128668955439, 800.3825505973576]",4,1,0,1,0,1,2567_6.jpg,0141
42839946.jpg,1334,2000,"[831.9286170552638, 319.9214366500534, 758.0128668955439, 800.3825505973576]",4,1,0,1,0,1,2567_7.jpg,0141
42840115.jpg,1334,2000,"[980.0713829446995, 554.6905095589593, 630.8701010061332, 562.2100342986437]",4,1,0,1,0,1,2568_1.jpg,0141
